"story_id","lead_id","working_title","premise","candidate_status","episode","season","position_in_season","territory","research_question","primary_idea","supporting_ideas","philosophical_mechanism","observable_basis","role_in_season","chronology_phase","chronology_confidence","calendar_constraint","continuity_role","connected_ids","episode_1_connection","episode_100_payoff","research_status","research_stage","sources_opened","sources_total","claim_review","subject_identified","consent_status","filming_access","access_status","main_missing_item","main_unresolved_dependency"
"ST-009","SL-SQ02-004","Two thousand hectares and one breath","Monks at Na Uyana Aranya, a forest monastery on the Dummiya range spread over more than 2,000 hectares and described as home to roughly 150 monks, follow a daily routine of alms round, walking and long sitting.","evidenced-situation","12","S02","4","T01","SQ02","C094-I01","C013-I02; C001-I03","Watching the breath without taking control of it - Observing something closely can turn into managing it. With breathing, the manuals say, managing tires a person, while watching lets the breath settle by itself until it is hard to notice.","Interpretation, not a finding. Reported activity: Walking between kutis, alms round, the day's timetable, and long sitting. The observable material is the forest, the routine and the silence, not anyone's inner state.","Develops the season's contrast. (Proposal.)","P6","seasonal","Aranyas commonly close to visitors during the rains retreat.","standalone","SEG-E001","visual or sound echo (proposal): A forest monastery appears in season two. It is not the monastery of Episode 1, and the resemblance is deliberate.","not applicable","in research","Source found through search","0","3","not reviewed","no","none","none","contact made: no; filming access: none; consent: none","Open and check sources (0 of 3 opened)","Whether any monastery would permit filming at all, and on what terms. Several aranyas do not admit visitors during the rains retreat."
"ST-017","SL-SQ03-006","Two hours between the bite and the antivenom","Peer-reviewed research records that most snakebite patients in Sri Lanka reach a first hospital, usually a small rural one, within an hour, but that a further two hours typically pass before the first dose of antivenom.","evidenced-situation","13","S02","5","T02","SQ03","C020-I01","C076-I03; C089-I01; C096-I02","Knowing the sign without knowing the reason - We recognise things by marks that repetition has laid down. That recognition can become firm and quick without ever including an understanding of what the thing is or why it is so.","Interpretation, not a finding. Reported activity: A rural hospital ward at night, the identification problem, the research teams collecting data, and the fields where bites happen.","Develops the season's contrast. (Proposal.)","P7","seasonal","Bites peak with the paddy calendar.","standalone","ST-013","not applicable","not applicable","in research","Source found through search","0","4","not reviewed","no","none","none","contact made: no; filming access: none; consent: none","Open and check sources (0 of 4 opened)","Whether the hump-nosed antivenom trials have reported, and what the current national guideline says. Not established."
"ST-013","SL-SQ03-002","A disease known by its signs","Farming families in the North Central dry zone live with chronic kidney disease of uncertain cause, first reported among paddy farmers in 1994, while researchers studying water, agrochemicals and biomarkers have not reached an agreed cause.","evidenced-situation","14","S02","6","T02","SQ03","C020-I01","C080-I03; C032-I02","Knowing the sign without knowing the reason - We recognise things by marks that repetition has laid down. That recognition can become firm and quick without ever including an understanding of what the thing is or why it is so.","Interpretation, not a finding. Reported activity: Clinic and dialysis sessions, water collection and household filtration, field work, and the sampling work of researchers.","Develops the season's contrast. (Proposal.)","P6","unconstrained","none","standalone","ST-017","not applicable","not applicable","in research","Source found through search","0","4","not reviewed","no","none","none","contact made: no; filming access: none; consent: none","Open and check sources (0 of 4 opened)","The cause. That is the point of the story, and it must not be resolved on screen by picking whichever hypothesis films best."
"ST-014","SL-SQ03-003","The law that turned a livelihood into an offence","Reporting records that over sixty years the forested areas the Wanniya-laeto community lived in were converted into sanctuaries, reservoirs and national parks, restricting hunting, honey gathering and chena cultivation for families at Dambana, beside the Maduru Oya National Park.","evidenced-situation","15","S02","7","T02","SQ03","C084-I01","C006-I02; C047-I01","When a passing quality becomes a person's name - Words such as ""the greedy one"" or ""the wise one"" take a quality that really occurs and fasten it to a person as a lasting name. The label can then stay long after the quality has come and gone.","Interpretation, not a finding. Reported activity: Honey gathering, forest walking, the settlement itself, and the daily reality of visitors who come to see the community.","Develops the season's contrast. (Proposal.)","P4","unconstrained","none","standalone","ST-091","not applicable","not applicable","in research","Source found through search","0","3","not reviewed","no","none","none","contact made: no; filming access: none; consent: none","Open and check sources (0 of 3 opened)","The community's own current position on being filmed, which the scholarship suggests is not simple. Whether a new access agreement is under negotiation."
"ST-015","SL-SQ03-004","A word that outlasted the war","Women heading households in Batticaloa and Ampara are the target of livelihood programmes, while research identifies land ownership rules, lack of formal employment skills and underpayment as constraints, with most such households able to take only low-paid informal or daily work.","evidenced-situation","16","S02","8","T02","SQ03","C084-I01","C098-I01; C052-I02; C032-I02","When a passing quality becomes a person's name - Words such as ""the greedy one"" or ""the wise one"" take a quality that really occurs and fasten it to a person as a lasting name. The label can then stay long after the quality has come and gone.","Interpretation, not a finding. Reported activity: Daily wage work, a training programme, a land or title office, and household life.","Develops the season's contrast. (Proposal.)","P4","unconstrained","none","standalone","none","not applicable","not applicable","in research","Source found through search","0","3","not reviewed","no","none","none","contact made: no; filming access: none; consent: none","Open and check sources (0 of 3 opened)","Current figures. Most of the specific numbers found date from earlier post-war reporting and must be re-checked before use."
"ST-016","SL-SQ03-005","A year after the water went down","Households and institutions hit by Cyclone Ditwah, which made landfall on 28 November 2025 and caused flooding and landslides across all 25 districts, are still recovering, though what that recovery looks like now has not been established.","evidenced-situation","17","S02","9","T02","SQ03","C034-I02","C052-I03; C098-I01; C100-I02","What arrives uninvited and what you do with it - Meeting something pleasant or unpleasant is one event. Acting on it is another, and the source places doing, and its moral weight, in the second.","Interpretation, not a finding. Reported activity: Rebuilding, a school that was a shelter, the silt line on a wall, and the second wave of rain that undid the first repairs.","Closes the season. Carries the shift: Recognition can be fast, firm, useful and still carry no understanding, and the names it produces can outlast the thing they described. Also a proposed continuity anchor (rank 6). (Proposal.)","P7","fixed-date","Anniversary of landfall on 28 November; recovery work continuing.","proposed continuity anchor (rank 6, context revealed later)","SEG-E100B; ST-077; ST-086; ST-092","not applicable","context revealed later (proposal): The cyclone of 28 November 2025 is the one hard dated marker the series has. Episode 100 uses it to sort the other episodes into before and after.","in research","Source found through search","0","5","not reviewed","no","none","none","contact made: no; filming access: none; consent: none","Open and check sources (0 of 5 opened)","What recovery looks like now, nine months on. Every figure above is from December 2025 and the current position has not been established."
"ST-021","SL-SQ05-001","Two months on foot to Kataragama","Pilgrims gather in the Jaffna peninsula to walk the Pada Yatra, described as Sri Lanka's oldest annual foot pilgrimage, taking roughly two months down the east coast through Okanda to arrive at Kataragama for the festival.","evidenced-situation","18","S03","1","T04","SQ05","C021-I02","C047-I01; C095-I01","Wanting to do without needing to possess - Wanting to do something is not the same as clinging to it. The same wish to act can feed possessiveness or work against it.","Interpretation, not a finding. Reported activity: Walking, cooking and sleeping on the route, river crossings, the jungle stretch toward Okanda, and arrival at the shrine.","Opens the season. Puts the season's question on the table: What keeps something wanted after the cost of it is clear? Also a proposed continuity anchor (rank 2). (Proposal.)","P4","fixed-date","Walk runs roughly May to July, arriving at Kataragama for the festival.","proposed continuity anchor (rank 2, journey)","SEG-E100B","not applicable","chronological continuation (proposal): The pilgrimage route is the spine of the underlying journey. Episode 100 Part B shows where Chathura joined it and where he left it.","in research","Source found through search","0","3","not reviewed","no","none","none","contact made: no; filming access: none; consent: none","Open and check sources (0 of 3 opened)","Exact 2027 dates, current participant numbers, and whether the full northern route is walked or only the eastern section. Not established."
"ST-022","SL-SQ06-001","Twenty-five days of a promise","Over the twenty-five days of the Nallur Kandaswamy temple festival in Jaffna, devotees, including Tamil expatriates returning to fulfil vows, are described as keeping rigorous personal vows, many walking barefoot throughout and some carrying kavadi.","evidenced-situation","19","S03","2","T04","SQ06","C006-I01","C077-I03; C047-I01","Knowing the cost and still wanting it - Knowing that an action has consequences does not necessarily remove the desire to do it.","Interpretation, not a finding. Reported activity: Daily processions over twenty-five days, kavadi carrying, barefoot walking, the arrival of returning family members, and the household preparation behind all of it.","Develops the season's contrast. (Proposal.)","P5","fixed-date","Twenty-five days in August or September.","standalone","none","not applicable","not applicable","in research","Source found through search","0","3","not reviewed","no","none","none","contact made: no; filming access: none; consent: none","Open and check sources (0 of 3 opened)","Exact 2027 dates. Whether the temple permits filming inside, which many Murugan temples restrict, and whether men are required to enter bare-chested, which affects who can film and how."
"ST-023","SL-SQ06-002","A price decided by a mouthful","Prices reached each Tuesday and Wednesday at the Colombo tea auction, where tasters and brokers work, feed through the Tea Board's green leaf pricing formula into what smallholder growers are paid a month later.","evidenced-situation","20","S03","3","T04","SQ06","C077-I03","C020-I02; C013-I01; C052-I02","Pleasure measured against what you are used to - Whether something feels fine or poor depends partly on what a person is accustomed to. Great comfort can make good things seem dull, and hunger can make plain food taste wonderful.","Interpretation, not a finding. Reported activity: Tasting rooms and the spitting line, the auction itself, the weighing of green leaf at a collection point, and a smallholder learning the month's rate.","Develops the season's contrast. (Proposal.)","P1","fixed-date","Auction every Tuesday and Wednesday.","standalone","ST-097","not applicable","not applicable","in research","Source found through search","0","4","not reviewed","no","none","none","contact made: no; filming access: none; consent: none","Open and check sources (0 of 4 opened)","What a smallholder actually received per kilogram in the most recent month, and how closely that tracks the formula. Not established."
"ST-024","SL-SQ06-003","Earning in a currency your neighbours do not use","Sri Lankans working online for overseas clients reportedly became liable as service exporters to income tax of up to 15 per cent from 1 April 2025, and reporting records that they lack foreign-currency withdrawal facilities available in neighbouring countries.","evidenced-situation","21","S03","4","T04","SQ06","C077-I03","C088-I02; C001-I03; C076-I01","Pleasure measured against what you are used to - Whether something feels fine or poor depends partly on what a person is accustomed to. Great comfort can make good things seem dull, and hunger can make plain food taste wonderful.","Interpretation, not a finding. Reported activity: A working day on someone else's clock, the payment problem, and the household around a person who earns in dollars.","Develops the season's contrast. (Proposal.)","P7","unconstrained","none","standalone","none","not applicable","not applicable","in research","Source found through search","0","4","not reviewed","no","none","none","contact made: no; filming access: none; consent: none","Open and check sources (0 of 4 opened)","Earnings figures come from blogs and marketing sources and are not reliable. The tax position must be confirmed from the revenue authority."
"ST-025","SL-SQ06-004","The tip that depends on a leopard","In Yala's Block I, safari jeep drivers and trackers are reported to chase and crowd sightings because many are paid little and depend on tips of USD 50 to 100 when a leopard is seen, as authorities restrict jeep numbers.","evidenced-situation","22","S03","5","T04","SQ06","C073-I02","C007-I01; C086-I02; C098-I01","Getting what you want and wanting it again - Obtaining what we want does not end the wanting. Because what we obtain does not last, the wish to obtain it again returns.","Interpretation, not a finding. Reported activity: The queue at the gate before dawn, the radio traffic between drivers, a jam around one animal, and the drive back.","Develops the season's contrast. (Proposal.)","P4","seasonal","Yala closes annually for the dry season.","standalone","ST-006","not applicable","not applicable","in research","Source found through search","0","3","not reviewed","no","none","none","contact made: no; filming access: none; consent: none","Open and check sources (0 of 3 opened)","What a driver actually earns without tips. Reported figures are secondhand."
"ST-011","SL-SQ02-006","Watching a very large place with very few people","Wildlife beat officers and rangers patrolling Yala and Wilpattu work amid reported arrests over a killed pregnant deer, an August 2026 armed confrontation with suspected poachers in Yala, and drought-time poisoning of water holes for meat.","evidenced-situation","23","S03","6","T01","SQ02","C013-I01","C075-I01; C003-I02; C096-I01","Looking long enough for something to become clear - A thing reveals its detail only to attention that stays with it and keeps returning to it. A mind that moves from one attractive object to the next sees none of them well.","Interpretation, not a finding. Reported activity: Night patrol, beat-office work, evidence handling, and the waterholes themselves during drought.","Develops the season's contrast. (Proposal.)","P4","seasonal","none","standalone","none","not applicable","not applicable","in research","Source found through search","0","4","not reviewed","no","none","none","contact made: no; filming access: none; consent: none","Open and check sources (0 of 4 opened)","Ranger numbers, pay and equipment relative to the area patrolled. The PARKS paper must be read in full for this."
"ST-051","SL-SQ13-001","The animal on the other side of the fence","In dry-zone farming villages, farmers reportedly sleep in raised watch huts beside their fields to guard crops from wild elephants, in a conflict with 1,195 people and 3,484 elephants reported killed between 2015 and 2024.","evidenced-situation","24","S03","7","T08","SQ13","C007-I01","C058-I02; C098-I01","When an obstacle to wanting becomes an enemy - When something stands between a person and what they want, the wanting can turn into hostility toward whatever stands in the way.","Interpretation, not a finding. Reported activity: Building and occupying a raised watch hut, night noise-making, electric fence maintenance, crop harvesting under pressure, and the Department of Wildlife Conservation's response work.","Develops the season's contrast. (Proposal.)","P6","seasonal","Conflict peaks around harvest.","standalone","ST-059","not applicable","not applicable","in research","Source found through search","0","4","not reviewed","no","none","none","contact made: no; filming access: none; consent: none","Open and check sources (0 of 4 opened)","Which village would agree to be filmed, and whether a household that has lost someone would want that. Nothing is established."
"ST-019","SL-SQ04-001","Seventeen years to a verdict","Litigants and remand prisoners wait in a court system that the Ministerial Consultative Committee on Justice recorded in February 2025 as having 1,131,818 pending cases, where criminal prosecutions reportedly take around seventeen years, while a reform package has been proposed.","evidenced-situation","25","S03","8","T03","SQ04","C020-I03","C066-I01; C098-I01; C052-I02","Restless yet still gripping the same thing - A mind can be agitated and unsettled while still holding on to one object. Being restless does not mean being free of what one is fixed on.","Interpretation, not a finding. Reported activity: Court corridors and adjournment, the file itself, a family travelling to a hearing, and the reform process.","Develops the season's contrast. (Proposal.)","P7","unconstrained","none","standalone","ST-020; ST-094","not applicable","not applicable","in research","Source found through search","0","4","not reviewed","no","none","none","contact made: no; filming access: none; consent: none","Open and check sources (0 of 4 opened)","Whether any individual case could be followed, and whether a court would permit filming at all. Court filming is heavily restricted."
"ST-020","SL-SQ04-002","The thing that waits","People in residential drug treatment, at centres including those of the National Dangerous Drugs Control Board, are part of a system where reporting records both planned new centres and criticism that some rely on military-style drill rather than treatment.","evidenced-situation","26","S03","9","T03","SQ04","C074-I01","C081-I01; C082-I01; C014-I01","A dormant urge that waits for its trigger - An urge can be absent from awareness for a long time and still be present, ready to rise when the right situation appears. Once it rises, it may fade in the mind or go on into words and actions.","Interpretation, not a finding. Reported activity: Counselling sessions, the daily routine of a residential centre, family visits, and discharge.","Develops the season's contrast. (Proposal.)","P7","unconstrained","none","standalone","ST-019","not applicable","not applicable","in research","Source found through search","0","4","not reviewed","no","none","none","contact made: no; filming access: none; consent: none","Open and check sources (0 of 4 opened)","How many people in these centres are there voluntarily and how many under court order or detention. This determines whether anyone there can consent at all."
"ST-052","SL-SQ13-002","One shrine, several communities","The Shrine of Our Lady of Madhu in Mannar, described as drawing Tamil and Sinhala Catholics and Buddhist and Muslim visitors, holds its largest gathering at the 15 August procession, reportedly hundreds of thousands of pilgrims to be fed and housed.","evidenced-situation","27","S03","10","T08","SQ13","C095-I01","C047-I01; C005-I01","Growing goodwill from the easiest person outward - Wishing others well is built in steps, from the person easiest to wish well toward the hardest. When anger returns, the practitioner goes back to an easier person before trying again.","Interpretation, not a finding. Reported activity: Arrival and encampment, the procession, hostel life, and the ordinary work of feeding and housing a very large temporary population.","Closes the season. Carries the shift: Wanting is not one thing. (Proposal.)","P5","fixed-date","Feast of the Assumption, 15 August.","standalone","none","not applicable","not applicable","in research","Source found through search","0","2","not reviewed","no","none","none","contact made: no; filming access: none; consent: none","Open and check sources (0 of 2 opened)","Attendance figures vary widely between sources and none is official. The shrine's wartime history, including the shelling of the area and the displacement of the statue, needs checking against a documented record before any of it is stated."
"ST-026","SL-SQ07-001","Twenty trees before the heat","Palmyrah toddy tappers in the Jaffna peninsula climb before dawn in an occupation that reporting describes as facing extinction, with younger people unwilling to take on the risk and co-operatives capping purchases so that sap brings little profit.","evidenced-situation","28","S04","1","T05","SQ07","C003-I02","C073-I03; C084-I01","When a tired body makes every act need pushing - Whether an action arises readily or needs urging depends partly on the condition of body and mind and on practised skill. Ease and skill go with readiness; exhaustion and heaviness go with needing a push.","Interpretation, not a finding. Reported activity: Climbing before dawn, cutting and binding the inflorescence, collecting and lowering pots, the walk between trees, delivery to a co-operative.","Opens the season. Puts the season's question on the table: What has to be true before a person can act at all? (Proposal.)","P5","unconstrained","none","standalone","none","not applicable","not applicable","in research","Source found through search","0","3","not reviewed","no","none","none","contact made: no; filming access: none; consent: none","Open and check sources (0 of 3 opened)","Current tapper numbers and ages. The 10,000 figure is from 2021 and covers growing as well as tapping."
"ST-029","SL-SQ07-004","Three in the morning, every morning","Rubber tappers and smallholders work through the pre-dawn round as reporting records yields at major plantation companies in 2025 at around half their 2020 level, and tappers leaving over inadequate wages and a lack of social recognition.","evidenced-situation","29","S04","2","T05","SQ07","C003-I02","C084-I01; C077-I03; C080-I03","When a tired body makes every act need pushing - Whether an action arises readily or needs urging depends partly on the condition of body and mind and on practised skill. Ease and skill go with readiness; exhaustion and heaviness go with needing a push.","Interpretation, not a finding. Reported activity: Pre-dawn tapping, the cup collection round, the smoke house, and the trees that are not being tapped.","Develops the season's contrast. (Proposal.)","P3","seasonal","Tapping stops in heavy rain.","standalone","ST-092","not applicable","not applicable","in research","Source found through search","0","3","not reviewed","no","none","none","contact made: no; filming access: none; consent: none","Open and check sources (0 of 3 opened)","What a tapper is actually paid per tree or per kilogram now. Not established."
"ST-030","SL-SQ08-002","You cannot hurry the sun","Salt pan workers at salterns from Hambantota to Puttalam and Elephant Pass harvest salt made by the sun from seawater, in an industry described as long-established, though whether harvesting is still manual at the main salterns is unconfirmed.","evidenced-situation","30","S04","3","T05","SQ08","C087-I01","C096-I01; C013-I01","When pushing harder keeps the goal away - Extra effort at the moment a goal seems close can create the agitation that stops it being reached. Backing off to avoid that mistake can tip into slackness, which fails too.","Interpretation, not a finding. Reported activity: Brine intake and movement between ponds, the crust forming, raking and heaping, loading, and the long intervals in which nothing can be done but wait.","Develops the season's contrast. (Proposal.)","P2","seasonal","Harvest follows the dry months.","standalone","none","not applicable","not applicable","in research","Source found through search","0","3","not reviewed","no","none","none","contact made: no; filming access: none; consent: none","Open and check sources (0 of 3 opened)","Whether harvesting is still manual at the main salterns or has been mechanised. Sources describe it as largely traditional but are not specific by site or year."
"ST-035","SL-SQ09-002","Fifteen minutes and thirty-two seconds","Emergency medical technicians of the 1990 Suwa Seriya ambulance service, described as launching in 2016 and expanding island-wide, work from dispatch to hospital handover, with a reported average response time of 15 minutes 32 seconds not independently checked.","evidenced-situation","31","S04","4","T06","SQ09","C089-I01","C066-I01; C047-I02; C003-I02","Having a skill but not reaching it in time - Doing something with time to prepare differs from doing it at once when a threat arrives. Using that speed to protect others is rarer still.","Interpretation, not a finding. Reported activity: Dispatch, the drive, the handover at a hospital, and the training where the sequence is drilled before it is needed.","Develops the season's contrast. (Proposal.)","P7","unconstrained","none","standalone","ST-034","not applicable","not applicable","in research","Source found through search","0","3","not reviewed","no","none","none","contact made: no; filming access: none; consent: none","Open and check sources (0 of 3 opened)","Response-time figures come from the service itself and have not been independently checked. Rural versus urban performance is not separated in what was found."
