"idea_id","idea_title","tier","territory","primary_story_ids","supporting_story_ids","use","how_the_uses_differ","unused_or_deferred","repetition_or_interpretation_concern"
"C007-I01","When an obstacle to wanting becomes an enemy","Tier B","T08","ST-051","ST-025; ST-058","primary and supporting","Single use as primary.","in use","none"
"C007-I02","Unable to bear another person's good fortune","Tier B","T08","none","none","not used","not applicable","not used; kept visible and available","none"
"C007-I03","Grief as pushing against what happened","Tier C","T11","none","none","not used","not applicable","not used; kept visible and available","none"
"C008-I01","When hurry leaves nothing fully taken in","Tier B","T01","ST-003","none","primary","Single use as primary.","in use","none"
"C009-I01","Most of what meets the eye goes unseen","Tier A","T01","ST-001; ST-006","ST-002; ST-004; ST-005; ST-081","primary and supporting","ST-001 is about attention deliberately steered away from a mechanism: an audience watching a puppet and not the hand. ST-006 is about attention so concentrated on one object that the concentration damages it. One is a craft depending on not being seen; the other is a site being worn by being seen.","in use","Used twice as primary. The two uses are distinguished in the previous column; if that distinction weakens in the edit, one should be re-led by another idea."
"C009-I02","Liking and disliking come after the seeing","Tier B","T02","none","none","not used","not applicable","not used; kept visible and available","none"
"C011-I02","Doing good by habit without asking why","Tier A","T07","ST-046; ST-047","ST-018; ST-043; ST-050; ST-049","primary and supporting","ST-046 is an inherited institutional routine at a site where the practice is centuries old and the custodial role is formal. ST-047 is a domestic expectation that used to go without saying and is now being renegotiated across distance. One is a rite; the other is an obligation.","in use","Used twice as primary. The two uses are distinguished in the previous column; if that distinction weakens in the edit, one should be re-led by another idea."
"C011-I03","Envy and pride slipping into a generous act","Tier B","T07","none","none","not used","not applicable","not used; kept visible and available","none"
"C013-I01","Looking long enough for something to become clear","Tier A","T01","ST-011","ST-003; ST-004; ST-006; ST-005; ST-012; ST-023; ST-030; ST-044; ST-010","primary and supporting","Single use as primary.","in use","none"
"C013-I02","Calm that lasts only while it is kept up","Tier C","T03","none","ST-009","supporting only","Used only to widen the reading of stories led by another idea.","in use","none"
"C013-I03","Answering each inner obstacle with its opposite","Tier C","T05","none","none","not used","not applicable","not used; kept visible and available","none"
"C014-I01","Distrusting a good thing that resembles past harm","Tier B","T12","none","ST-020","supporting only","Used only to widen the reading of stories led by another idea.","in use","none"
"C014-I02","Moving beyond something while still hanging from it","Tier B","T13","ST-084","ST-003; ST-077","primary and supporting","Single use as primary.","in use","none"
"C016-I01","Mistaking a striking experience for arrival","Tier C","T06","none","ST-036","supporting only","Used only to widen the reading of stories led by another idea.","in use","none"
"C020-I01","Knowing the sign without knowing the reason","Tier A","T02","ST-017; ST-013","ST-061","primary and supporting","ST-013 is a condition recognised by its signs for three decades with no agreed cause. ST-017 is a bite that has to be identified in minutes, usually without the animal. Same mechanism, opposite timescales, and in the second case the not-knowing is measurably lethal.","in use","Used twice as primary. The two uses are distinguished in the previous column; if that distinction weakens in the edit, one should be re-led by another idea."
"C020-I02","Seeing only one side of something at once","Tier A","T02","ST-012","ST-023; ST-048; ST-056; ST-090; ST-096","primary and supporting","Single use as primary.","in use","none"
"C020-I03","Restless yet still gripping the same thing","Tier A","T03","ST-019","none","primary","Single use as primary.","in use","none"
"C021-I01","Being sure without checking whether it is true","Tier B","T14","ST-098","none","primary","Single use as primary.","in use","none"
"C021-I02","Wanting to do without needing to possess","Tier A","T04","ST-021","none","primary","Single use as primary.","in use","none"
"C021-I03","Why doing good can feel uphill","Tier C","T05","none","none","not used","not applicable","not used; kept visible and available","none"
"C022-I01","When regret keeps the wrong alive","Tier B","T12","none","ST-069","supporting only","Used only to widen the reading of stories led by another idea.","in use","none"
"C022-I02","Explaining away someone else's goodness","Tier C","T08","none","none","not used","not applicable","not used; kept visible and available","none"
"C022-I03","Measuring yourself too low to try","Tier B","T08","none","none","not used","not applicable","not used; kept visible and available","none"
"C023-I01","Holding back for self-respect or for reputation","Tier A","T09","ST-056","ST-057; ST-055","primary and supporting","Single use as primary.","in use","none"
"C023-I02","Why doing good feels awkward without practice","Tier B","T07","none","ST-045","supporting only","Used only to widen the reading of stories led by another idea.","in use","none"
"C023-I03","Speaking against what you quietly do","Tier C","T14","none","none","not used","not applicable","not used; kept visible and available","none"
"C024-I01","Holding back from harm, with or without a promise","Tier C","T09","ST-058","none","primary","Single use as primary.","in use"," Tier C card leading an episode: the matrix rates it as a supporting lens, so the episode must stand on its situation, not on the idea."
"C024-I02","Refusing a wrong that would pay the bills","Tier A","T09","none","ST-053; ST-056","supporting only","Used only to widen the reading of stories led by another idea.","in use","none"
"C024-I03","When distress at suffering is not compassion","Tier C","T10","none","ST-054; ST-063; ST-096","supporting only","Used only to widen the reading of stories led by another idea.","in use","none"
"C026-I01","Stinginess as resenting that others share","Tier B","T08","none","none","not used","not applicable","not used; kept visible and available","none"
"C026-I02","When shame and caution fall silent together","Tier C","T09","none","none","not used","not applicable","not used; kept visible and available","none"
"C027-I01","Not harming is a different act from helping","Tier C","T09","ST-054","ST-006; ST-058; ST-063; ST-072","primary and supporting","Single use as primary.","in use"," Tier C card leading an episode: the matrix rates it as a supporting lens, so the episode must stand on its situation, not on the idea."
"C030-I01","Doing good without feeling glad about it","Tier A","T10","none","ST-028; ST-059; ST-064; ST-066","supporting only","Used only to widen the reading of stories led by another idea.","in use","none"
"C030-I02","Kindness that changes with what we notice","Tier B","T10","ST-063","ST-061","primary and supporting","Single use as primary.","in use","none"
"C032-I01","When pleasure turns into pain by ending","Tier B","T13","ST-085","ST-038","primary and supporting","Single use as primary.","in use","none"
"C032-I02","Suffering nobody sees unless they ask","Tier B","T10","ST-062; ST-064","ST-002; ST-013; ST-015; ST-068; ST-066","primary and supporting","ST-062 concerns work that is in plain sight and looked away from. ST-064 concerns distress that is not in sight at all and that the service system is not positioned to find. The first is avoidance; the second is absence.","in use","Used twice as primary. The two uses are distinguished in the previous column; if that distinction weakens in the edit, one should be re-led by another idea."
"C033-I01","What keeps the mind gripped on something","Tier A","T03","none","none","not used","not applicable","not used; kept visible and available","none"
"C034-I01","Seeing before knowing what you see","Tier B","T02","ST-005","none","primary","Single use as primary.","in use","none"
"C034-I02","What arrives uninvited and what you do with it","Tier C","T02","ST-016","none","primary","Single use as primary.","in use"," Tier C card leading an episode: the matrix rates it as a supporting lens, so the episode must stand on its situation, not on the idea."
"C036-I01","Seeing through the marks we already know","Tier B","T02","none","none","not used","not applicable","not used; kept visible and available","none"
"C036-I02","Senses stay in the present while thought travels","Tier B","T01","none","ST-081","supporting only","Used only to widen the reading of stories led by another idea.","in use","none"
"C038-I01","Trying to know the mind with the mind","Tier C","T03","none","none","not used","not applicable","not used; kept visible and available","none"
"C039-I01","When steady replacement looks like staying the same","Tier A","T13","ST-074; ST-080; ST-077","ST-037; ST-046; ST-083; ST-085; ST-084","primary and supporting","ST-074 is a workshop whose people are replaced generation by generation. ST-077 is a railway whose physical components are replaced continuously. ST-080 is a product whose name survives a change of substance. Person, material and name: three different things being replaced under one appearance.","in use","Used as the primary idea of 3 episodes. Watch for the series repeating one shape of story."
"C040-I01","Not everything that reaches us gets noticed","Tier B","T01","ST-002","ST-001; ST-006; ST-018; ST-062","primary and supporting","Single use as primary.","in use","none"
"C040-I02","Responses that unfold without anyone deciding","Tier C","T03","none","none","not used","not applicable","not used; kept visible and available","none"
"C043-I01","When careless attention decides what a sight becomes","Tier C","T02","none","none","not used","not applicable","not used; kept visible and available","none"
"C046-I01","Reacting to what we recognise, not what we see","Tier B","T02","ST-018","none","primary","Single use as primary.","in use","none"
"C047-I01","Remembering a place versus remembering being there","Tier A","T13","ST-086; ST-081","ST-003; ST-014; ST-021; ST-022; ST-052; ST-078; ST-083; ST-065; ST-085; ST-079; ST-084","primary and supporting","ST-081 is about a sound people remember hearing in a place that may no longer produce it. ST-086 is about villages that are physically under water and can only be remembered. One tests whether a memory still has a referent; the other knows it does not.","in use","Used twice as primary. The two uses are distinguished in the previous column; if that distinction weakens in the edit, one should be re-led by another idea."
"C047-I02","Sensing another's pain you cannot see","Tier C","T10","ST-061","ST-035; ST-064","primary and supporting","Single use as primary.","in use"," Tier C card leading an episode: the matrix rates it as a supporting lens, so the episode must stand on its situation, not on the idea."
"C048-I01","One glimpse that keeps ringing in the mind","Tier B","T03","none","none","not used","not applicable","not used; kept visible and available","none"
"C052-I01","When stockpiling turns shared plenty into boundaries","Tier A","T14","ST-088; ST-095","ST-056; ST-091; ST-055; ST-097; ST-089; ST-094; ST-062; ST-092; ST-073; ST-079","primary and supporting","ST-088 is a raw material held in common that now requires a permit. ST-095 is land in common use that became valuable enough to clear. Material and ground; a licence and a demolition.","in use","Used twice as primary. The two uses are distinguished in the previous column; if that distinction weakens in the edit, one should be re-led by another idea."
"C052-I02","Handing judgement to someone everyone agrees on","Tier B","T14","ST-094","ST-015; ST-023; ST-019; ST-031; ST-032; ST-072; ST-069","primary and supporting","Single use as primary.","in use","none"
"C052-I03","Why lessons learned in disaster fade in plenty","Tier A","T13","ST-073","ST-016; ST-070","primary and supporting","Single use as primary.","in use","none"
"C055-I01","Trying to outweigh past harm with later good","Tier B","T12","ST-072; ST-070","ST-078; ST-053; ST-069","primary and supporting","ST-070 is repair done by hand by the community that lives with the damage. ST-072 is repair ordered by a court against a foreign company. The card's point, that later good changes the weight of the past without erasing it, is tested in the first by labour and in the second by money.","in use","Used twice as primary. The two uses are distinguished in the previous column; if that distinction weakens in the edit, one should be re-led by another idea."
"C056-I01","The small gift remembered above great works","Tier C","T11","none","ST-071","supporting only","Used only to widen the reading of stories led by another idea.","in use","none"
"C056-I02","Replaying one act until it weighs like habit","Tier C","T12","none","none","not used","not applicable","not used; kept visible and available","none"
"C056-I03","Blaming the path after years without results","Tier B","T06","none","none","not used","not applicable","not used; kept visible and available","none"
"C058-I01","Words that only do harm once believed","Tier B","T14","none","none","not used","not applicable","not used; kept visible and available","none"
"C058-I02","When annoyance hardens into wishing someone harm","Tier A","T08","none","ST-051","supporting only","Used only to widen the reading of stories led by another idea.","in use","none"
"C058-I03","Dodging every answer for fear of being wrong","Tier C","T14","none","none","not used","not applicable","not used; kept visible and available","none"
"C059-I01","How later regret changes a past kindness","Tier B","T07","none","none","not used","not applicable","not used; kept visible and available","none"
"C059-I02","Giving away only what you would not keep","Tier A","T07","ST-049","none","primary","Single use as primary.","in use","none"
"C060-I01","Asking why a life ended too soon","Tier B","T11","ST-069","none","primary","Single use as primary.","in use","none"
"C060-I02","Leaving to fate what care could change","Tier B","T11","none","none","not used","not applicable","not used; kept visible and available","none"
"C061-I01","Old deeds feeling new again near death","Tier C","T11","none","none","not used","not applicable","not used; kept visible and available","none"
"C062-I01","Trying to shape a dying person's last impressions","Tier B","T11","ST-066","none","primary","Single use as primary.","in use","none"
"C065-I01","Feeling what you reached for","Tier B","T01","ST-008","ST-007","primary and supporting","Single use as primary.","in use","none"
"C066-I01","Deciding to move is not yet moving","Tier C","T05","ST-031","ST-019; ST-035","primary and supporting","Single use as primary.","in use"," Tier C card leading an episode: the matrix rates it as a supporting lens, so the episode must stand on its situation, not on the idea."
"C066-I02","Hearing the words without the act of meaning","Tier A","T11","ST-068; ST-071","ST-087","primary and supporting","ST-068 is about speech that cannot reach a listener because there is no interpreter. ST-071 is about speech addressed to someone who cannot receive it at all. One is a solvable gap; the other is not meant to be solved.","in use","Used twice as primary. The two uses are distinguished in the previous column; if that distinction weakens in the edit, one should be re-led by another idea."
"C066-I03","Ageing noticed only after growing stops","Tier B","T13","ST-076; ST-079","none","primary","ST-076 is a workshop that noticed its age when no new weaver arrived. ST-079 is a coastline whose wearing was masked while it was also accreting. One is a human institution; the other is a physical process, and the second is the card read literally.","in use","Used twice as primary. The two uses are distinguished in the previous column; if that distinction weakens in the edit, one should be re-led by another idea."
"C067-I01","Giving up the wanting, not the thing","Tier A","T04","none","none","not used","not applicable","not used; kept visible and available","none"
"C069-I01","When mind, food and weather make the body heavy","Tier B","T05","none","none","not used","not applicable","not used; kept visible and available","none"
"C073-I01","When relief is worth more than pleasure","Tier B","T04","none","none","not used","not applicable","not used; kept visible and available","none"
"C073-I02","Getting what you want and wanting it again","Tier C","T04","ST-025","none","primary","Single use as primary.","in use"," Tier C card leading an episode: the matrix rates it as a supporting lens, so the episode must stand on its situation, not on the idea."
"C073-I03","What a description cannot give you","Tier A","T06","ST-038; ST-039","ST-007; ST-001; ST-008; ST-012; ST-026; ST-040; ST-043; ST-036; ST-034; ST-037; ST-089; ST-075","primary and supporting","ST-038 is a skill that lives in the hands and cannot be conveyed in words. ST-039 is a skill gated by permission, where a long apprenticeship precedes being allowed to begin at all. Inarticulable technique and controlled access are different problems.","in use","Used twice as primary. The two uses are distinguished in the previous column; if that distinction weakens in the edit, one should be re-led by another idea."
"C074-I01","A dormant urge that waits for its trigger","Tier B","T03","ST-020","none","primary","Single use as primary.","in use","none"
"C074-I03","When giving turns into outdoing others","Tier B","T07","none","ST-050","supporting only","Used only to widen the reading of stories led by another idea.","in use","none"
"C075-I01","When focus and effort serve a harmful aim","Tier B","T09","none","ST-011","supporting only","Used only to widen the reading of stories led by another idea.","in use","none"
"C075-I02","Which inner drive leads a hard undertaking","Tier B","T05","none","none","not used","not applicable","not used; kept visible and available","none"
"C076-I01","Wanting to be worth what others give up","Tier A","T05","ST-027; ST-028","ST-024; ST-041; ST-042; ST-060","primary and supporting","ST-027 is a young woman whose family's sacrifice is domestic and immediate. ST-028 is a doctor whose training was paid for publicly by people they will never meet. Private debt and public investment.","in use","Used twice as primary. The two uses are distinguished in the previous column; if that distinction weakens in the edit, one should be re-led by another idea."
"C076-I02","Knowing when to push and when to leave alone","Tier A","T05","ST-032","none","primary","Single use as primary.","in use","none"
"C076-I03","When trust outruns judgement, or the reverse","Tier C","T14","ST-090","ST-017; ST-093; ST-098; ST-095; ST-092","primary and supporting","Single use as primary.","in use"," Tier C card leading an episode: the matrix rates it as a supporting lens, so the episode must stand on its situation, not on the idea."
"C077-I01","Grief that burns inside, spills over, then wears down","Tier B","T11","ST-065","none","primary","Single use as primary.","in use","none"
"C077-I02","Sitting side by side yet feeling worlds apart","Tier B","T10","none","ST-027; ST-047; ST-060","supporting only","Used only to widen the reading of stories led by another idea.","in use","none"
"C077-I03","Pleasure measured against what you are used to","Tier B","T04","ST-023; ST-024","ST-022; ST-029","primary and supporting","ST-023 is a palate calibrated by what it has already tasted, deciding a price. ST-024 is an income measured against the wages of everyone nearby. Sensory calibration and social comparison.","in use","Used twice as primary. The two uses are distinguished in the previous column; if that distinction weakens in the edit, one should be re-led by another idea."
"C080-I01","When discomfort turns into wanting comfort","Tier A","T04","none","none","not used","not applicable","not used; kept visible and available","none"
"C080-I02","Wanting tightens once the thing is in hand","Tier B","T04","none","none","not used","not applicable","not used; kept visible and available","none"
"C080-I03","Naming one cause for what many causes made","Tier B","T14","ST-093; ST-089","ST-013; ST-029; ST-031; ST-033; ST-058; ST-088; ST-097; ST-098; ST-079","primary and supporting","ST-089 is a decline attributed to plastic when clay scarcity, cost and labour are also documented. ST-093 is a dispute in which drivers, passengers and platforms each name a different single cause. One is a received explanation; the other is a live argument between parties.","in use","Used twice as primary. The two uses are distinguished in the previous column; if that distinction weakens in the edit, one should be re-led by another idea."
"C081-I01","Reaching for relief that makes the pain worse","Tier C","T04","none","ST-020","supporting only","Used only to widen the reading of stories led by another idea.","in use","none"
"C081-I02","When enjoying something turns into craving it","Tier C","T04","none","none","not used","not applicable","not used; kept visible and available","none"
"C081-I03","Neither the same person nor someone else","Tier B","T12","ST-083","ST-095; ST-087","primary and supporting","Single use as primary.","in use","none"
"C082-I01","When a troubled state becomes its own fuel","Tier C","T03","none","ST-020","supporting only","Used only to widen the reading of stories led by another idea.","in use","none"
"C082-I02","How one crossed line makes the next easier","Tier C","T09","ST-057; ST-055","none","primary","ST-055 is an illegal extraction continuing for two decades after a court banned it. ST-057 is a practice inside an institution that renews itself each academic year. Both are escalation, one across time and one across cohorts.","in use","Used twice as primary. The two uses are distinguished in the previous column; if that distinction weakens in the edit, one should be re-led by another idea. Tier C card leading an episode: the matrix rates it as a supporting lens, so the episode must stand on its situation, not on the idea."
"C082-I03","Real virtue turned into a sense of superiority","Tier C","T08","none","none","not used","not applicable","not used; kept visible and available","none"
"C084-I01","When a passing quality becomes a person's name","Tier B","T02","ST-014; ST-015","ST-026; ST-029; ST-034; ST-048; ST-057; ST-062; ST-095; ST-067; ST-080","primary and supporting","ST-014 is a label created by a statute, which converted an existing practice into an offence. ST-015 is a label created by an event, which has outlived the event by more than fifteen years. Law and history, doing the same work to a name.","in use","Used twice as primary. The two uses are distinguished in the previous column; if that distinction weakens in the edit, one should be re-led by another idea."
"C085-I01","A hard road does not mean slow understanding","Tier C","T06","ST-042","ST-043; ST-044","primary and supporting","Single use as primary.","in use"," Tier C card leading an episode: the matrix rates it as a supporting lens, so the episode must stand on its situation, not on the idea."
"C085-I02","Drawing steadiness from conduct you can honestly recall","Tier C","T12","none","none","not used","not applicable","not used; kept visible and available","none"
"C086-I01","When a good trait resembles a harmful one","Tier C","T08","none","none","not used","not applicable","not used; kept visible and available","none"
"C086-I02","Praising and blaming because others do","Tier B","T14","ST-097; ST-096","ST-025; ST-057","primary and supporting","ST-096 is a public argument in which positions are largely taken over from the surrounding discourse. ST-097 is a price that is taken over from what other buyers are doing on the same night. Moral judgement and market judgement.","in use","Used twice as primary. The two uses are distinguished in the previous column; if that distinction weakens in the edit, one should be re-led by another idea."
"C086-I03","What steadies one person unsettles another","Tier C","T05","ST-033","none","primary","Single use as primary.","in use"," Tier C card leading an episode: the matrix rates it as a supporting lens, so the episode must stand on its situation, not on the idea."
"C087-I01","When pushing harder keeps the goal away","Tier B","T05","ST-030","ST-041","primary and supporting","Single use as primary.","in use","none"
"C087-I03","Recreating the conditions of a past success","Tier B","T05","none","none","not used","not applicable","not used; kept visible and available","none"
"C088-I01","A hard-won calm looks coarse once mastered","Tier B","T06","none","none","not used","not applicable","not used; kept visible and available","none"
"C088-I02","When delight itself unsettles a quieter contentment","Tier C","T04","none","ST-024","supporting only","Used only to widen the reading of stories led by another idea.","in use","none"
"C088-I03","Mastering a stage at will before moving on","Tier B","T06","ST-036","none","primary","Single use as primary.","in use","none"
"C089-I01","Having a skill but not reaching it in time","Tier A","T06","ST-035; ST-034","ST-017; ST-042","primary and supporting","ST-034 is a national shortage of a skill with a harvest window measured in weeks. ST-035 is an individual skill with a window measured in minutes. The scale and the clock are different, and so is who bears the cost of being late.","in use","Used twice as primary. The two uses are distinguished in the previous column; if that distinction weakens in the edit, one should be re-led by another idea."
"C089-I02","Remembering backwards one step at a time","Tier B","T13","none","ST-004; ST-086; ST-082; ST-087; ST-084","supporting only","Used only to widen the reading of stories led by another idea.","in use","none"
"C089-I03","Seeking forgiveness when the person is out of reach","Tier A","T12","none","ST-071","supporting only","Used only to widen the reading of stories led by another idea.","in use","none"
"C090-I01","Seeing the repulsive kindly and the lovely soberly","Tier B","T02","none","none","not used","not applicable","not used; kept visible and available","none"
"C090-I02","Unable to memorise, yet able to understand","Tier B","T06","none","none","not used","not applicable","not used; kept visible and available","none"
"C091-I01","Recalling someone's goodness in words you understand","Tier B","T13","ST-082; ST-087","ST-068; ST-071","primary and supporting","ST-082 is a written script whose readers have gone. ST-087 is a spoken language whose younger speakers can produce the words without using them. Writing and speech, and in the second case the speakers are present.","in use","Used twice as primary. The two uses are distinguished in the previous column; if that distinction weakens in the edit, one should be re-led by another idea."
"C091-I02","Imagining an admired person present before a wrong","Tier B","T09","none","none","not used","not applicable","not used; kept visible and available","none"
"C091-I03","Knowing when to say a true but unwelcome thing","Tier A","T14","none","ST-094","supporting only","Used only to widen the reading of stories led by another idea.","in use","none"
"C092-I01","Whose death we picture shapes what we feel","Tier C","T11","none","ST-067; ST-065","supporting only","Used only to widen the reading of stories led by another idea.","in use","none"
"C092-I02","Measuring your own death against the mighty","Tier B","T11","ST-067","none","primary","Single use as primary.","in use","none"
"C092-I03","Living as though only a breath remains","Tier C","T11","none","none","not used","not applicable","not used; kept visible and available","none"
"C093-I01","Outgrowing the words that first guided learning","Tier B","T06","ST-043","ST-074","primary and supporting","Single use as primary.","in use","none"
"C093-I02","When the same thing disgusts once out of place","Do not advance","T02","none","none","not used","not applicable","not used; kept visible and available"," Marked *Do not advance* in the documentary potential matrix and is correctly unused here."
"C094-I01","Watching the breath without taking control of it","Tier C","T01","ST-009","none","primary","Single use as primary.","in use"," Tier C card leading an episode: the matrix rates it as a supporting lens, so the episode must stand on its situation, not on the idea."
"C094-I02","Watching one point to follow a whole movement","Tier C","T01","ST-010","none","primary","Single use as primary.","in use"," Tier C card leading an episode: the matrix rates it as a supporting lens, so the episode must stand on its situation, not on the idea."
"C094-I03","When a teacher's verdict stops the learner","Tier B","T06","none","ST-036; ST-041","supporting only","Used only to widen the reading of stories led by another idea.","in use","none"
"C095-I01","Growing goodwill from the easiest person outward","Tier B","T08","ST-052","ST-021","primary and supporting","Single use as primary.","in use","none"
"C095-I02","When staying angry gives the rival what they want","Tier B","T08","none","none","not used","not applicable","not used; kept visible and available","none"
"C095-I03","Stepping back as care, not as indifference","Tier B","T10","ST-059","ST-066","primary and supporting","Single use as primary.","in use","none"
"C096-I01","Knowing what helps, what harms, and what fits now","Tier B","T05","ST-040","ST-011; ST-030; ST-031; ST-033; ST-054; ST-098; ST-077","primary and supporting","Single use as primary.","in use","none"
"C096-I02","Fitting an explanation to where someone is confused","Tier B","T06","ST-044","ST-017; ST-068","primary and supporting","Single use as primary.","in use","none"
"C097-I01","Showing you need nothing in order to receive","Tier C","T07","none","none","not used","not applicable","not used; kept visible and available","none"
"C097-I02","Accepting care meant for who you appear to be","Tier B","T07","ST-048","ST-005","primary and supporting","Single use as primary.","in use","none"
"C097-I03","Goodness that ends once its reward arrives","Tier B","T09","ST-053","none","primary","Single use as primary.","in use","none"
"C098-I01","Unfairness that comes from fear, not favour","Tier B","T14","ST-092","ST-015; ST-016; ST-025; ST-051; ST-019; ST-028; ST-033; ST-032; ST-054; ST-091; ST-055; ST-088; ST-097; ST-093; ST-094; ST-090; ST-063","primary and supporting","Single use as primary.","in use","none"
"C098-I02","Blame stops stinging before praise stops pulling","Tier C","T08","none","none","not used","not applicable","not used; kept visible and available","none"
"C100-I01","Realising that what you held was never yours","Tier B","T04","none","none","not used","not applicable","not used; kept visible and available","none"
"C100-I02","Taking stock of what is gone and what remains","Tier B","T06","ST-078; ST-037","ST-008; ST-016; ST-040; ST-039; ST-072; ST-086; ST-070; ST-076; ST-085; ST-082","primary and supporting","ST-037 is a craft counting how many households still practise it. ST-078 is an institution counting what survived a destruction. One is attrition; the other is a single night.","in use","Used twice as primary. The two uses are distinguished in the previous column; if that distinction weakens in the edit, one should be re-led by another idea."
"C100-I03","Letting go only after searching every branch","Tier B","T13","none","none","not used","not applicable","not used; kept visible and available","none"
"C101-I02","Hearing the faint by starting with the loud","Tier B","T01","ST-007","ST-018","primary and supporting","Single use as primary.","in use","none"
"C102-I01","Deciding beforehand what may call you back","Tier B","T10","ST-060","ST-028; ST-032; ST-047","primary and supporting","Single use as primary.","in use","none"
