"connection_id","from_id","to_id","family","relationship_type","explanation","source_or_planning_basis","evidence_status","initial_audience_interpretation","later_interpretation","required_footage_or_research","spoiler_visibility"
"CX-011","ST-016","ST-092","chronological","chronological continuation","Reporting on the January 2026 wage agreement records that the same floods cut off dozens of estates.","Reported: both situations appear in the same published reporting, seen only as search results. The specific damage has not been confirmed with the employer.","source-reported","Two unrelated episodes in different seasons.","The second is a consequence of the first, and the audience saw them in the wrong order.","Confirm the specific damage with the operator or employer before claiming the link.","medium"
"CX-012","ST-016","ST-086","chronological","chronological continuation","Central-district flooding and reservoir operation are part of the same water system.","Reported: both appear in the same published reporting, seen only as search results. That they are one water system is an interpretation to be checked.","source-reported","Two unrelated episodes in different seasons.","The second is a consequence of the first, and the audience saw them in the wrong order.","Confirm the specific damage with the operator or employer before claiming the link.","medium"
"CX-013","ST-007","ST-096","continuity","object continuity","A drum made in the first episode is played in the procession.","Production plan; both events are real.","proposal","Two separate films about a craft and a festival.","The same instrument.","Track the instrument from workshop to a named player in the procession.","low"
"CX-014","ST-007","ST-036","continuity","visual or sound echo","The drum that accompanies the initiation is the one the audience watched being tuned.","Production plan.","proposal","Unconnected.","A sound the audience already knows.","Same instrument or same maker.","low"
"CX-015","ST-007","ST-061","continuity","visual or sound echo","Low-country ritual drumming and Kandyan drum making are different traditions using related instruments; the episodes should not pretend otherwise.","Editorial. The difference is the point.","proposal","Similar-sounding drums.","Two distinct traditions the series has been careful not to blur.","A musicologist check before either is cut.","low"
"CX-016","ST-006","ST-025","philosophical","shared human question","Both are places where the number of people who come to look is the thing damaging what they came for.","Editorial, resting on documented visitor pressure at both sites.","proposal","A heritage episode and a wildlife episode.","One argument, made twice in different materials.","Nothing beyond scheduling them apart.","low"
"CX-017","ST-058","ST-092","continuity","revisited person or place","The snares that kill leopards are set in the estate landscape where the wage episode is filmed.","Reported: a published mortality study, seen only as a search result, locates snare deaths in plantation mosaics in Nuwara Eliya. Any revisit is a proposal.","source-reported","A conservation episode and a labour episode.","The same hillside, and the same people, seen from two directions.","Do not film both in the same village without telling the community.","medium"
"CX-018","ST-051","ST-059","philosophical","philosophical contrast","One episode watches people whose lives are threatened by elephants; the other watches people whose whole work is raising them.","Editorial contrast between two documented situations.","proposal","Two elephant episodes.","A single unresolved national relationship, from both ends.","Nothing; they must not be cut together in a way that lectures either side.","low"
"CX-019","ST-073","ST-094","philosophical","philosophical development","The first shows a system being physically restored; the second shows the human arrangement that decides who gets the water in it.","Editorial, resting on the same documented institution.","proposal","An engineering story and a governance story.","The restoration was the easy half.","Ideally the same cascade.","low"
"CX-020","ST-094","ST-019","philosophical","philosophical contrast","A village that hands one person the power to decide, against a national system in which a million cases wait for a decision.","Editorial contrast; both institutions are documented.","proposal","Unrelated.","Two answers to the same problem, at opposite scales.","Nothing.","low"
"CX-021","ST-001","ST-006","philosophical","philosophical development","Attention that is deliberately directed away from the mechanism, and attention so concentrated it damages its object.","Editorial pairing between two independently researched situations.","proposal","The audience learns that not looking can be part of the art.","Looking has a cost in both directions.","Scheduling only; no extra filming.","low"
"CX-022","ST-002","ST-062","philosophical","philosophical development","Work nobody looks at, in a material everyone uses, and then work nobody looks at that everyone would rather not.","Editorial pairing between two independently researched situations.","proposal","Two episodes about unseen labour.","The second is what the first becomes when the material is worthless.","Scheduling only; no extra filming.","low"
"CX-023","ST-013","ST-017","philosophical","shared human question","One condition recognised for thirty years without a cause; one bite that must be identified in minutes without the snake.","Editorial pairing between two independently researched situations.","proposal","Two medical episodes.","Recognition without understanding, at two speeds.","Scheduling only; no extra filming.","low"
"CX-024","ST-034","ST-035","philosophical","philosophical contrast","A skill with a window of weeks against a skill with a window of minutes.","Editorial pairing between two independently researched situations.","proposal","An agriculture episode and an emergency-services episode.","The same question about arriving in time.","Scheduling only; no extra filming.","low"
"CX-025","ST-038","ST-039","philosophical","philosophical development","A skill that lives in the fingers and cannot be described, against a skill gated by permission before a person may begin.","Editorial pairing between two independently researched situations.","proposal","Two craft episodes.","Two different things that the word training covers.","Scheduling only; no extra filming.","low"
"CX-026","ST-036","ST-010","philosophical","philosophical contrast","A dancer whose progress is certified by a teacher on a set night, against a keeper whose work nobody assesses at all.","Editorial pairing between two independently researched situations.","proposal","A ceremony and an isolation.","Two conditions under which a person decides they are doing it properly.","Scheduling only; no extra filming.","low"
"CX-027","ST-049","ST-050","philosophical","philosophical contrast","Giving something the body needs and remakes, against giving away everything a stall produces for one night.","Editorial pairing between two independently researched situations.","proposal","Two episodes about generosity.","Two different economies of giving.","Scheduling only; no extra filming.","low"
"CX-028","ST-048","ST-045","philosophical","philosophical contrast","Fishermen paid for appearing to fish, against stallholders whose devotion is also a trade.","Editorial pairing between two independently researched situations.","proposal","One looks like a fake and one looks sincere.","Both are people making a living out of what visitors want.","Scheduling only; no extra filming.","low"
"CX-029","ST-056","ST-055","philosophical","philosophical development","A miner alone underground with a stone, against a riverbed mined at night under a court order that is not enforced.","Editorial pairing between two independently researched situations.","proposal","A craft episode and a crime episode.","Restraint at two scales, one of which has no witness and one of which has too many.","Scheduling only; no extra filming.","low"
"CX-030","ST-053","ST-058","philosophical","philosophical contrast","Men paid to protect what they used to take, against a landscape where a wire set for one animal kills another.","Editorial pairing between two independently researched situations.","proposal","Two conservation episodes.","Harm you intend and harm you leave behind.","Scheduling only; no extra filming.","low"
"CX-031","ST-059","ST-063","philosophical","philosophical development","Care deliberately withheld so an animal can survive without people, against care given to the one animal a street happens to know.","Editorial pairing between two independently researched situations.","proposal","Two episodes about animals.","Two shapes of care, neither of which is closeness.","Scheduling only; no extra filming.","low"
"CX-032","ST-060","ST-047","philosophical","philosophical contrast","A woman who leaves the country so her family can stay in it, against families working out who will look after a parent.","Editorial pairing between two independently researched situations.","proposal","A migration episode and an ageing episode.","One obligation, met by leaving and by staying.","Scheduling only; no extra filming.","low"
"CX-033","ST-071","ST-069","philosophical","philosophical contrast","A family doing something for someone who cannot receive it, against families refusing a payment because it answers the wrong question.","Editorial pairing between two independently researched situations.","proposal","A ritual and a campaign.","Two responses to an ending that will not close.","Scheduling only; no extra filming.","low"
"CX-034","ST-070","ST-072","philosophical","philosophical contrast","A community replanting what a local industry destroyed, against a court ordering a foreign company to pay for what it destroyed.","Editorial pairing between two independently researched situations.","proposal","Two environmental episodes.","Repair by hand and repair by judgment, and what each one can actually reach.","Scheduling only; no extra filming.","low"
"CX-035","ST-074","ST-075","philosophical","philosophical contrast","A workshop in its fifth generation that looks unchanged, against a casting method in which the original must be destroyed to make the object.","Editorial pairing between two independently researched situations.","proposal","Two craft episodes.","Two accounts of how a thing stays itself.","Scheduling only; no extra filming.","low"
"CX-036","ST-077","ST-084","philosophical","philosophical development","A railway that stays the same by being continuously replaced, against a railway destroyed and rebuilt on its own formation.","Editorial pairing between two independently researched situations.","proposal","Two railway episodes.","Continuity by replacement and continuity by return, and the difference between them.","Scheduling only; no extra filming.","low"
"CX-037","ST-082","ST-087","philosophical","shared human question","A script nobody reads and a language children can pronounce but not use.","Editorial pairing between two independently researched situations.","proposal","Two episodes about languages.","Words outliving the people who could use them, in writing and in speech.","Scheduling only; no extra filming.","low"
"CX-038","ST-041","ST-044","philosophical","philosophical contrast","A ten-year-old preparing for a national selection examination, against a school with twelve children and one teacher covering five grades.","Editorial pairing between two independently researched situations.","proposal","Two education episodes.","The two ends of the same system, and the exam is what connects them.","Scheduling only; no extra filming.","low"
"CX-039","ST-028","ST-027","philosophical","shared human question","A specialist leaving the country and a young woman leaving her province, both to be worth what somebody gave up.","Editorial pairing between two independently researched situations.","proposal","Two labour episodes.","One mechanism at two levels of privilege.","Scheduling only; no extra filming.","low"
"CX-040","ST-098","ST-031","philosophical","philosophical contrast","A policy imposed quickly and paid for over years, against a target announced repeatedly and never reached.","Editorial pairing between two independently researched situations.","proposal","Two agriculture episodes.","Deciding too fast and not deciding at all.","Scheduling only; no extra filming.","low"
"CX-041","ST-090","ST-033","philosophical","philosophical contrast","Turbines imposed on a fishing ground, against rooftop panels welcomed and then refused by the grid.","Editorial pairing between two independently researched situations.","proposal","Two energy episodes.","The same transition, resisted from below and constrained from above.","Scheduling only; no extra filming.","low"
"CX-042","ST-067","ST-066","philosophical","philosophical development","A place where everyone ends up, against a place organised entirely around a known ending.","Editorial pairing between two independently researched situations.","proposal","Two episodes about death.","One is administration and one is attention.","Scheduling only; no extra filming.","low"
"CX-043","ST-020","ST-019","philosophical","shared human question","A dormant pull waiting for its trigger, and a case waiting seventeen years for a hearing.","Editorial pairing between two independently researched situations.","proposal","Two episodes about waiting.","Two things that will not settle, one inside a person and one inside an institution.","Scheduling only; no extra filming.","low"
"CX-044","ST-085","ST-083","philosophical","philosophical development","A cinema with eight people in it, against a market moved wholesale to a bigger site and emptied of its trade.","Editorial pairing between two independently researched situations.","proposal","Two episodes about decline.","Space is not the problem in either case.","Scheduling only; no extra filming.","low"
"CX-045","ST-023","ST-097","philosophical","philosophical development","A price set by tasting in a room in Colombo, against a price agreed on a lorry park at three in the morning.","Editorial pairing between two independently researched situations.","proposal","Two market episodes.","Two ways a grower's year turns into a number.","Scheduling only; no extra filming.","low"
"CX-046","ST-088","ST-095","philosophical","shared human question","Cane that requires a permit and land that becomes valuable: two cases of something held in common turning into something that can be taken.","Both sit under the same research question, SQ23.","proposal","A craft decline and a housing programme.","The same mechanism in a material and in a place.","Nothing.","low"
"CX-047","ST-091","ST-014","philosophical","philosophical development","Cultivators prosecuted for clearing forest, and a community whose hunting was made an offence by the same kind of instrument.","Editorial parallel. Each situation is reported in its own sources, seen only as search results.","proposal","Two episodes about forest rules.","One process, applied twice, forty years apart.","Neither community should be filmed as an example of the other.","low"
"CX-048","ST-064","ST-098","chronological","context revealed later","Research identifies farmers and daily wage labourers among the populations at higher risk of attempted suicide; the fertiliser episode is about farmers carrying debt.","Reported at population level in published research, seen only as a search result and not opened. Sensitive: this connection must never be drawn about a named person, and a clinical adviser must approve any use of it.","source-reported","A mental health episode and an agriculture episode.","A relationship the research records and the film must not turn into a story about an individual.","A clinical adviser must approve any edit that places these near each other.","high"
"CX-049","ST-029","ST-092","philosophical","shared human question","Tapping and plucking, two skills leaving the plantations for the same reasons at the same time.","Editorial pairing. Each trend is reported with separate figures in its own sources, seen only as search results.","proposal","Two plantation episodes.","One labour story with two crops.","Nothing.","low"
"CX-050","ST-009","SEG-E001","continuity","visual or sound echo","A forest monastery appears in season two. It is not the monastery of Episode 1, and the resemblance is deliberate.","Editorial. The two places are different and the series must be able to prove it.","proposal","A place that looks like the one in Episode 1.","A different monastery, which is what makes the point.","Establish clearly on screen that these are two places, or the connection becomes a lie.","high"
"CX-051","ST-003","ST-084","continuity","visual or sound echo","A boat moving at walking pace beside a road, and a train running to the end of a line. Two ways of crossing the same country slowly.","Editorial.","proposal","Unrelated transport.","A rhyme that closes the series.","Matching pace and lens treatment.","low"
"CX-052","ST-086","ST-073","continuity","visual or sound echo","A reservoir that drowned villages and a tank system being restored: the same technology at two scales and two centuries.","Editorial, resting on documented history.","proposal","Two water episodes.","What the small system did without doing.","Nothing.","low"
